Temps execution: 0.00145331 secondes
Ratio page fault: 24.4%
Succes TLB: 5.5%
19520	22592	33856	0
58141	34077	34077	0
63959	21975	34263	-11
53040	34352	34352	0
55842	34594	34594	54
585	17225	34633	0
51229	32541	34589	0
64181	4533	34741	0
54879	3679	34655	-105
28210	34866	34866	27
10268	14620	34844	0
15395	31779	34851	-120
12884	30292	34900	0
2149	35173	35173	0
53483	35563	35563	58
59606	26070	35542	52
14981	24709	35461	0
36672	35648	35648	0
23197	35997	35997	0
36518	14502	36006	22
13361	36145	36145	0
19810	36450	36450	19
25955	36707	36707	88
62678	470	36822	25
26021	36773	36773	0
29409	37089	37089	0
38111	37343	37343	55
58573	15565	37325	0
56840	37384	37384	0
41306	24922	37466	55
54426	19354	37530	55
3617	10017	37409	0
50652	18652	37596	0
41452	25068	37612	0
20241	16657	37393	0
31723	12267	37611	-70
53747	1011	37619	-68
28550	28038	37510	55
23402	20586	37482	55
21205	37845	37845	0
56181	25205	37749	0
57470	38014	38014	56
39933	38397	38397	0
34964	26772	38292	0
24781	38605	38605	0
41747	38675	38675	-60
62564	356	38756	0
58461	15453	38749	0
20858	39034	39034	20
49301	8597	39061	0
40572	39292	39292	0
23840	39456	39456	0
35278	39886	39886	34
62905	28601	39865	0
56650	13386	39754	34
11149	40077	40077	0
38920	3848	39944	0
23430	20614	40070	10
57592	38136	40184	0
3080	40200	40200	0
6677	6677	40213	0
50704	26128	40208	0
51883	27307	40363	42
62799	28495	40271	19
20188	40668	40668	0
1245	40925	40925	0
12220	2748	40892	0
17602	41154	41154	17
28609	28097	41153	0
42694	20934	41158	17
29826	41346	41346	29
13827	31235	41219	0
27336	28872	41416	0
53343	35423	41311	23
11533	41485	41485	0
41713	41969	41969	0
33890	42082	42082	33
4894	13598	42014	33
57599	38143	42239	63
3870	18974	42014	33
58622	15614	42238	33
29780	41300	42068	0
62553	345	42073	0
2303	35327	42239	63
51915	27339	42187	50
6251	7531	42091	26
38107	37339	42203	54
59325	10429	42173	0
61295	42351	42351	-37
26699	42571	42571	18
51188	42996	42996	0
59519	25983	42879	-33
7345	43185	43185	0
20325	16741	43109	0
39633	43473	43473	0
1562	43546	43546	1
7580	6300	43676	0
8170	34026	43754	1
62256	23856	43568	0
35823	44015	44015	-5
27790	44174	44174	27
13191	44423	44423	-31
9772	44588	44588	0
7477	6197	44597	0
44455	44967	44967	105
59546	26010	44954	43
49347	8643	44995	112
36539	14523	44987	110
12453	45221	45221	0
49640	45544	45544	0
28290	34946	45442	48
44817	13073	45329	0
8565	20085	45429	0
16399	45583	45583	3
41934	38862	45774	16
45457	45969	45969	0
33856	42048	45888	0
19498	22570	45866	44
17661	41213	46077	0
63829	21845	45909	0
42034	46130	46130	41
28928	16384	46080	0
30711	16375	46327	61
8800	46432	46432	0
52335	46703	46703	27
38775	46967	46967	-35
52704	30176	47072	0
24380	1596	46908	0
19602	22674	46994	37
57998	3214	46990	37
2919	11623	46951	-39
8362	47274	47274	8
17884	9948	47324	0
45737	7849	47273	0
47894	25622	47126	8
59667	47379	47379	68
10385	14737	47505	0
52782	47662	47662	51
64416	5024	47776	0
